Data,Hora,Preço
2025-03-22,13:58:14,$0.1681
2025-03-22,13:58:44,$0.1681
2025-03-22,13:59:14,$0.1681
2025-03-22,13:59:44,$0.1681
2025-03-22,14:00:14,$0.1681
2025-03-22,14:00:45,$0.1681
2025-03-22,14:01:15,$0.1681
2025-03-22,14:01:45,$0.1682
2025-03-22,14:02:15,$0.1682
2025-03-22,14:02:45,$0.1682
2025-03-22,14:03:15,$0.1682
2025-03-22,14:03:45,$0.1682
2025-03-22,14:04:15,$0.1682
2025-03-22,14:04:46,$0.1682
2025-03-22,14:05:16,$0.1682
2025-03-22,14:05:46,$0.1682
2025-03-22,14:06:16,$0.1682
2025-03-22,14:06:46,$0.1682
2025-03-22,14:07:16,$0.1682
2025-03-22,14:07:47,$0.1682
2025-03-22,14:08:17,$0.1682
2025-03-22,14:08:47,$0.1682
2025-03-22,14:09:17,$0.1682
2025-03-22,14:09:47,$0.1682
2025-03-22,14:10:17,$0.1682
2025-03-22,14:10:48,$0.1682
2025-03-22,14:11:18,$0.1682
2025-03-22,14:11:48,$0.1682
2025-03-22,14:12:18,$0.1682
2025-03-22,14:12:48,$0.1682
2025-03-22,14:13:18,$0.1682
2025-03-22,14:13:48,$0.1682
2025-03-22,14:14:18,$0.1682
2025-03-22,14:14:48,$0.1682
2025-03-22,14:15:19,$0.1682
2025-03-22,14:15:49,$0.1683
2025-03-22,14:16:19,$0.1683
2025-03-22,14:16:49,$0.1683
2025-03-22,14:17:19,$0.1683
2025-03-22,14:17:49,$0.1683
2025-03-22,14:18:19,$0.1683
2025-03-22,14:18:49,$0.1683
2025-03-22,14:19:20,$0.1683
2025-03-22,14:19:50,$0.1683
2025-03-22,14:20:20,$0.1683
2025-03-22,14:20:50,$0.1683
2025-03-22,14:21:20,$0.1683
2025-03-22,14:21:50,$0.1683
2025-03-22,14:22:20,$0.1683
2025-03-22,14:22:50,$0.1683
2025-03-22,14:23:21,$0.1683
2025-03-22,14:23:51,$0.1683
2025-03-22,14:24:21,$0.1683
2025-03-22,14:24:51,$0.1683
2025-03-22,14:25:21,$0.1683
2025-03-22,14:25:51,$0.1683
2025-03-22,14:26:21,$0.1683
2025-03-22,14:26:51,$0.1683
2025-03-22,14:27:22,$0.1683
2025-03-22,14:27:52,$0.1683
2025-03-22,14:28:22,$0.1683
2025-03-22,14:28:52,$0.1683
2025-03-22,14:29:22,$0.1683
2025-03-22,14:29:52,$0.1684
2025-03-22,14:30:22,$0.1684
